seed,domain,method,horizon,mse,mae,rmse,mape,trend_f1,event_consistency,avg_selected_events,avg_tokens,groundedness,train_time_sec,inference_time_sec,llm_calls,token_cost_estimate
2028,Energy,numerical_only,3,0.0197523501164096,0.0999501563559656,0.1405430543157848,0.0297638289500607,0.5468085106382978,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Energy,raw_text_embedding,3,0.0452245040040381,0.1581111391781293,0.212660537016246,0.0473270635161242,0.5127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Energy,event_no_verifier,3,0.0283085998171399,0.1217841607964423,0.1682515967744138,0.0370577575371839,0.5638297872340425,0.4285365039130918,450.0,11.0,1.0,0.0,0.0,0,0.0
2028,Energy,event_with_verifier,3,0.0234847929269699,0.1090808266394699,0.1532474891375711,0.0327130132547753,0.5404255319148936,0.4285365039130918,450.0,11.0,1.0,0.0,0.0,0,0.0
2028,Energy,full_cents_feature,3,0.0234847929269699,0.1090808266394699,0.1532474891375711,0.0327130132547753,0.5404255319148936,0.4285365039130918,450.0,11.0,1.0,0.0,0.0,0,0.0
2028,Energy,persistence,6,0.0294510054084827,0.1135027042413891,0.1716129523330997,0.0414474290398584,0.0085397096498719,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Energy,numerical_only,6,0.0635375666922228,0.1816855809536494,0.2520665917812649,0.0546877562852688,0.5182978723404256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Energy,raw_text_embedding,6,0.1554776777371496,0.2914476460618703,0.3943065783589587,0.0866247298808745,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Energy,event_no_verifier,6,0.084626942825838,0.2008301782718123,0.2909071034296654,0.0597808004583185,0.5276595744680851,0.4285365039130918,450.0,11.0,1.0,0.0,0.0,0,0.0
2028,Energy,event_with_verifier,6,0.0709275618336635,0.1867950964276833,0.2663222894045174,0.0561445694792983,0.5259574468085106,0.4285365039130918,450.0,11.0,1.0,0.0,0.0,0,0.0
2028,Energy,full_cents_feature,6,0.0709275618336635,0.1867950964276833,0.2663222894045174,0.0561445694792983,0.5259574468085106,0.4285365039130918,450.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_US,persistence,3,0.4007673122678217,0.3621474236229415,0.6330618550093046,0.1655750769661395,0.0153321976149914,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_US,numerical_only,3,1.7155391782295488,0.9973995107621704,1.3097859283980526,0.5089521581515041,0.6446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_US,raw_text_embedding,3,3.0478455667573146,1.2808216734710325,1.7458079982510433,0.6419421287075746,0.5085106382978724,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_US,event_no_verifier,3,1.5076083703812466,0.8932765395824666,1.2278470468186364,0.4249738232140272,0.6042553191489362,0.4680561675378364,1199.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_US,event_with_verifier,3,1.7748275101376714,1.0116686850887622,1.3322265235828594,0.5036250816288019,0.6425531914893617,0.4680561675378364,1199.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_US,full_cents_feature,3,1.7748275101376714,1.0116686850887622,1.3322265235828594,0.5036250816288019,0.6425531914893617,0.4680561675378364,1199.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_US,persistence,6,0.846096172240955,0.5462979610019926,0.919834861396846,0.264392826478024,0.0153714773697694,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_US,numerical_only,6,3.2100911176898648,1.3643743714781678,1.7916727150040168,0.7466321860452266,0.6604255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_US,raw_text_embedding,6,6.476062950097168,1.9469706400105404,2.544810985141562,0.9496408994679468,0.5174468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_US,event_no_verifier,6,2.869506953348323,1.2600125312383614,1.6939619102412908,0.640754439020156,0.6280851063829788,0.4680561675378364,1199.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_US,event_with_verifier,6,3.3239845779877064,1.398170614776394,1.8231797985902836,0.7537348163253653,0.6570212765957447,0.4680561675378364,1199.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_US,full_cents_feature,6,3.3239845779877064,1.398170614776394,1.8231797985902836,0.7537348163253653,0.6570212765957447,0.4680561675378364,1199.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_AFR,persistence,3,0.0107171106506118,0.0534465411589745,0.1035234787408722,0.4444085278717301,0.0336456558773424,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_AFR,numerical_only,3,0.0026579936309314,0.0439279753741797,0.0515557332498668,1.8333539996231811,0.5361702127659574,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_AFR,raw_text_embedding,3,0.0661034035175984,0.2004738132905413,0.2571058216330358,5.209576213892021,0.4978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_AFR,event_no_verifier,3,0.0049401816929443,0.0581549388915756,0.0702864260931255,2.340558801421158,0.5148936170212766,0.4351400005121152,1198.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_AFR,event_with_verifier,3,0.0037707504152687,0.0501314553231799,0.0614064362690813,1.6883163385247193,0.5063829787234042,0.4351400005121152,1198.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_AFR,full_cents_feature,3,0.0037707504152687,0.0501314553231799,0.0614064362690813,1.6883163385247193,0.5063829787234042,0.4351400005121152,1198.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_AFR,persistence,6,0.0145402103307399,0.0646927475721921,0.1205827945054348,0.5672602720183425,0.0324508966695132,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_AFR,numerical_only,6,0.0045913376367904,0.0576867216117044,0.0677594099501351,2.468255876423472,0.5259574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_AFR,raw_text_embedding,6,0.0622833046564735,0.1942055034078976,0.2495662330053358,5.02552696939892,0.5004255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2028,Health_AFR,event_no_verifier,6,0.008137570823487,0.0759016768368315,0.0902084853186609,3.070593207910515,0.505531914893617,0.4351400005121152,1198.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_AFR,event_with_verifier,6,0.0057869392597515,0.0622312877836218,0.0760719347706601,2.204865275441425,0.4868085106382979,0.4351400005121152,1198.0,11.0,1.0,0.0,0.0,0,0.0
2028,Health_AFR,full_cents_feature,6,0.0057869392597515,0.0622312877836218,0.0760719347706601,2.204865275441425,0.4868085106382979,0.4351400005121152,1198.0,11.0,1.0,0.0,0.0,0,0.0
