"seed","domain","method","source_model","horizon","history_length","epochs","batch_size","learning_rate","mse","mae","rmse","mape","trend_f1","train_time_sec","torch_device","best_val_scaled_mse"
"2027","Health_AFR","mmts_itransformer","iTransformer","6","24","3","64","0.001","0.0028415532557138495","0.03816452693517802","0.05330622154790048","1.2879483801539129","0.4868085106382979","0.16689443588256836","cpu","0.17835655808448792"
"2028","Energy","mmts_patchtst","PatchTST","3","24","3","64","0.001","0.05121933622954906","0.1648584340481048","0.22631689338082797","0.050087817824227124","0.4808510638297872","0.39760875701904297","cpu","0.03318675607442856"
"2028","Energy","mmts_itransformer","iTransformer","3","24","3","64","0.001","0.05529367031339732","0.16667713763866018","0.23514606165827512","0.05083079488187463","0.4765957446808511","0.23182463645935059","cpu","0.03268381953239441"
"2028","Energy","mmts_patchtst","PatchTST","6","24","3","64","0.001","0.0804984623773196","0.20507529272255323","0.283722509465357","0.06277835546028451","0.502127659574468","0.37021517753601074","cpu","0.052030421793460846"
"2028","Energy","mmts_itransformer","iTransformer","6","24","3","64","0.001","0.09843665862737411","0.22916110010011823","0.31374616910390174","0.07010131177706835","0.48851063829787233","0.2586085796356201","cpu","0.06187249720096588"
"2028","Health_US","mmts_patchtst","PatchTST","3","24","3","64","0.001","1.1286254975070238","0.7033261312660596","1.0623678729644566","0.2771078362460218","0.49361702127659574","0.37931227684020996","cpu","0.9708894491195679"
"2028","Health_US","mmts_itransformer","iTransformer","3","24","3","64","0.001","1.1619953546681936","0.7087973360474228","1.0779588835703307","0.2867741046893727","0.4425531914893617","0.2626357078552246","cpu","1.0467150211334229"
"2028","Health_US","mmts_patchtst","PatchTST","6","24","3","64","0.001","1.735794554142236","0.9009022207547587","1.317495561336825","0.3606472400869606","0.4902127659574468","0.39976072311401367","cpu","1.5833426713943481"
"2028","Health_US","mmts_itransformer","iTransformer","6","24","3","64","0.001","2.1669162980900194","1.004386552428523","1.472044937523994","0.4019725774479993","0.512340425531915","0.27158141136169434","cpu","1.9885245561599731"
"2028","Health_AFR","mmts_patchtst","PatchTST","3","24","3","64","0.001","0.0019224996675781501","0.03129833800658742","0.043846318746026444","0.9918864522651134","0.48936170212765956","0.20019173622131348","cpu","0.13920415937900543"
"2028","Health_AFR","mmts_itransformer","iTransformer","3","24","3","64","0.001","0.0021605854824501163","0.03327017266679793","0.046482098515989105","1.0893003996282005","0.5106382978723404","0.1621246337890625","cpu","0.14549028873443604"
"2028","Health_AFR","mmts_patchtst","PatchTST","6","24","3","64","0.001","0.00277529228463102","0.03734348544500874","0.052681042934162","1.2241638794992638","0.48595744680851066","0.20755767822265625","cpu","0.17857421934604645"
"2028","Health_AFR","mmts_itransformer","iTransformer","6","24","3","64","0.001","0.003257644873857106","0.040262278526400526","0.05707578185059847","1.3847529633617495","0.5114893617021277","0.16933226585388184","cpu","0.19136734306812286"
"2026","Energy","mmts_timemixer","TimeMixer","3","24","3","64","0.001","0.07340661507022747","0.20457095829307612","0.27093655174270503","0.06265065874019297","0.4957446808510638","0.7281146049499512","cpu","0.052993424236774445"
"2026","Energy","mmts_timemixer","TimeMixer","6","24","3","64","0.001","0.09811405758252503","0.22593785879459788","0.31323163566684165","0.0691818748865776","0.49617021276595746","0.67264723777771","cpu","0.05748148262500763"
"2026","Health_US","mmts_timemixer","TimeMixer","3","24","3","64","0.001","1.6170946107929411","0.8960062753224204","1.2716503492678093","0.3686289073368874","0.5085106382978724","0.7287461757659912","cpu","1.4129581451416016"
"2026","Health_US","mmts_timemixer","TimeMixer","6","24","3","64","0.001","2.394715407149772","1.1012183079060087","1.5474868035462441","0.5068491263313596","0.5089361702127659","0.7204322814941406","cpu","2.3473961353302"
"2026","Health_AFR","mmts_timemixer","TimeMixer","3","24","3","64","0.001","0.0024545406302062386","0.03515669118830974","0.04954332074262119","1.1855668276176434","0.5276595744680851","0.3120276927947998","cpu","0.16275924444198608"
"2026","Health_AFR","mmts_timemixer","TimeMixer","6","24","3","64","0.001","0.0036234914855491802","0.04384198129104437","0.06019544405973911","1.609084868454624","0.4902127659574468","0.3293802738189697","cpu","0.18074914813041687"
"2027","Energy","mmts_timemixer","TimeMixer","3","24","3","64","0.001","0.04918016185578524","0.15915766776876247","0.2217660069888648","0.048092671048343985","0.5255319148936171","0.6774153709411621","cpu","0.026288943365216255"
"2027","Energy","mmts_timemixer","TimeMixer","6","24","3","64","0.001","0.1297218650795931","0.2722685994831383","0.3601692172848661","0.08252685379522702","0.4817021276595745","0.6923747062683105","cpu","0.06654676795005798"
