seed,domain,method,source_model,horizon,history_length,epochs,batch_size,learning_rate,mse,mae,rmse,mape,trend_f1,nmse,smape,relative_improvement_over_persistence,n_features,train_time_sec,torch_device,best_val_scaled_mse,rank_mse_in_domain_horizon
2026,Health_AFR,strong_numerical_only,PatchTST,6,24,3,64,0.001,0.002554992249863874,0.03541738091215016,0.050546931161682546,1.1765330138982826,0.48425531914893616,0.7502266624584014,0.5312229990959167,-0.572943461998166,1.0,0.2216033935546875,cpu,0.16806438565254211,7.0
2026,Health_AFR,strong_raw_text_fusion,TimesNet,6,24,3,64,0.001,0.00328826446605243,0.04114499774576554,0.05734339077916853,1.3452820363272724,0.48851063829787233,0.9655386139736851,0.5997210144996643,-1.0243717347767416,17.0,0.6704699993133545,cpu,0.1899939924478531,22.0
2026,Health_AFR,strong_raw_text_fusion,PatchTST,6,24,3,64,0.001,0.002530980722041238,0.03526892764460798,0.050308853316700014,1.161012911746062,0.4927659574468085,0.7431761172444726,0.5294020771980286,-0.5581611174712054,17.0,0.5276930332183838,cpu,0.16068294644355774,4.0
2026,Health_AFR,strong_event_no_verifier,TimesNet,6,24,3,64,0.001,0.00298434570677723,0.03860284586516308,0.05462916534944708,1.2756722682402555,0.5191489361702127,0.8762984386104606,0.5641154050827026,-0.8372686132678642,6.0,0.6272590160369873,cpu,0.18522785604000092,19.0
2026,Health_AFR,strong_event_no_verifier,PatchTST,6,24,3,64,0.001,0.0024986345256725498,0.034966150580423204,0.04998634339169599,1.1327721538304325,0.49531914893617024,0.7336782493170071,0.5284143090248108,-0.538247656637284,6.0,0.3441457748413086,cpu,0.16805189847946167,2.0
2026,Health_AFR,strong_event_with_verifier,TimesNet,6,24,3,64,0.001,0.0029789327538072286,0.038335596045135714,0.05457960016166506,1.350220538830125,0.49957446808510636,0.874709024145135,0.5601173639297485,-0.8339362082538291,6.0,0.6350243091583252,cpu,0.19193902611732483,18.0
2026,Health_AFR,strong_event_with_verifier,PatchTST,6,24,3,64,0.001,0.0024986345256725498,0.034966150580423204,0.04998634339169599,1.1327721538304325,0.49531914893617024,0.7336782493170071,0.5284143090248108,-0.538247656637284,6.0,0.3425633907318115,cpu,0.16805189847946167,2.0
2027,Energy,strong_numerical_only,TimesNet,3,24,3,64,0.001,0.03225124336735958,0.12846835200668227,0.17958631174830553,0.039622883055118865,0.574468085106383,0.06273277010077141,0.03959168866276741,-0.8828276568501736,9.0,0.674232006072998,cpu,0.021065348759293556,2.0
2027,Energy,strong_numerical_only,PatchTST,3,24,3,64,0.001,0.05272184637164621,0.1659770500575397,0.22961238287959604,0.05046896563049847,0.4808510638297872,0.10255069641959816,0.050707943737506866,-2.0779015040767534,9.0,0.3966684341430664,cpu,0.03293183073401451,20.0
2027,Energy,strong_raw_text_fusion,TimesNet,3,24,3,64,0.001,0.03725549669597032,0.13569172088136064,0.19301683008476314,0.04193309142783485,0.5361702127659574,0.07246667927177337,0.04168618470430374,-1.174975976890718,25.0,0.7099919319152832,cpu,0.026834040880203247,6.0
2027,Energy,strong_raw_text_fusion,PatchTST,3,24,3,64,0.001,0.05358674379290024,0.16789943072812777,0.23148810723857982,0.05099538369357161,0.4978723404255319,0.10423303190261371,0.05127184838056564,-2.128394217381679,25.0,0.6212000846862793,cpu,0.0307266004383564,23.0
2027,Energy,strong_event_no_verifier,TimesNet,3,24,3,64,0.001,0.03630378056906672,0.13290291119974557,0.1905355099950314,0.04116079586358962,0.474468085106383,0.07061547036456378,0.0410585030913353,-1.1194147873640539,14.0,0.6511940956115723,cpu,0.02595336362719536,5.0
2027,Energy,strong_event_no_verifier,PatchTST,3,24,3,64,0.001,0.052904147950394206,0.16609117477498156,0.23000901710670868,0.05057592964913535,0.49361702127659574,0.10290529617559331,0.05070819333195686,-2.088544270634447,14.0,0.49641990661621094,cpu,0.0325341671705246,21.0
2027,Energy,strong_event_with_verifier,TimesNet,3,24,3,64,0.001,0.033577107063905,0.1268325558790924,0.18324057155527812,0.039119778927809185,0.5042553191489362,0.06531174361546455,0.03898295387625694,-0.9602315822937373,14.0,0.6214179992675781,cpu,0.02316979505121708,4.0
2027,Energy,strong_event_with_verifier,PatchTST,3,24,3,64,0.001,0.052904147950394206,0.16609117477498156,0.23000901710670868,0.05057592964913535,0.49361702127659574,0.10290529617559331,0.05070819333195686,-2.088544270634447,14.0,0.47254514694213867,cpu,0.0325341671705246,21.0
2027,Energy,strong_numerical_only,TimesNet,6,24,3,64,0.001,0.06546383413634725,0.1835504416032886,0.25585901222420765,0.05654808267937909,0.48936170212765956,0.1273020830319629,0.05653425306081772,-0.5921309665666253,9.0,0.6695070266723633,cpu,0.04107044264674187,4.0
